Title,Labels,Reviewers,Assignees,Comments,Opened time,Closed time,Number of commits,Number of changed files,Number of participants 
"Issue#5465 Added Ints, Longs.tryParse(CharSequence) overloading methods regarding #2549.",cla: yes,,,"noamgrinch: The algorithms are basically the same as the tryParse(String) methods with very small changes.  nick-someone: Hi @noamgrinch, thanks for your contribution. Unfortunately, we've not gotten to deciding whether adding this overload is a good idea or not, so we can't accept this PR. It would be really helpful for us to understand your use case though - do you have visible code where you have a non-String CharSequence that you'd like to tryParse from? Especially if turning that CharSequence into String via toString() or similar would be prohibitively expensive? Please comment on #2549 with any examples. Thanks!  ",2021-04-05 12:02:55,2021-04-06 17:58:42,3,4,2
Issue#5466 Recognize `@ParametricNullness` in `NullPointerTester`.,cla: yes,,,"copybara-service: Recognize @ParametricNullness in NullPointerTester. In short: Take a method parameter whose type is a type-variable usage T. NullPointerTester assumed that the method should throw an exception when passed null unless the parameter type is annotated @Nullable T. But for a type like Predicate<T>, we don't want a Predicate<@Nullable String> to throw an exception if passed null. The only case in which a class should definitely throw for such a parameter is if it doesn't permit nullable type arguments at all (like ImmutableList). Yet, in our new world, we don't want to annotate the argument of Predicate.apply as @Nullable. The annotation @ParametricNullness is our new way of distinguishing Predicate (where we'll use it) from ImmutableList (where we won't). Eventually, we will remove the annotation, at which point we'll either update NullPointerTester to distinguish Predicate from ImmutableList based on their type parameters' bounds or else we'll disable NullPointerTester at least temporarily. RELNOTES=n/a 



              The text was updated successfully, but these errors were encountered:
              ",2021-04-05 20:05:38,2021-04-05 20:55:05,0,0,0
Issue#5467 Internal change.,cla: yes,,,"copybara-service: Internal change. RELNOTES=n/a 



              The text was updated successfully, but these errors were encountered:
              ",2021-04-05 20:05:59,2021-04-26 17:23:21,1,2,1
Issue#5468 Recognize that `<T extends @Nullable Object>` implies nullability.,cla: yes,,,"copybara-service: Recognize that <T extends @Nullable Object> implies nullability. If you have a method with a parameter of type T, we should not expect it to
throw an exception when called with null. RELNOTES=In NullPointerTester, a parameter of type <T extends @Nullable Object> is allowed to be null. 



              The text was updated successfully, but these errors were encountered:
              ",2021-04-05 22:53:22,2021-04-06 18:50:46,0,0,0
Issue#5469 Bump actions/setup-java from v1 to v2,"cla: yes, dependencies, github_actions",,,"dependabot: Bumps actions/setup-java from v1 to v2. Dependabot will resolve any conflicts with this PR as long as you don't alter it yourself. You can also trigger a rebase manually by commenting @dependabot rebase. You can trigger Dependabot actions by commenting on this PR:  dependabot: Looks like actions/setup-java is up-to-date now, so this is no longer needed.  ",2021-04-06 07:53:17,2021-04-06 20:17:02,1,1,0
Issue#5470 Update CI to cancel previous runs and to use v2 of setup-java.,cla: yes,,,copybara-service: Update CI to cancel previous runs and to use v2 of setup-java. RELNOTES=n/a  ,2021-04-06 19:53:17,2021-04-06 20:16:26,1,1,1
Issue#5472 Internal change.,cla: yes,,,"copybara-service: Internal change. RELNOTES=n/a 



              The text was updated successfully, but these errors were encountered:
              ",2021-04-08 10:20:18,2021-04-08 10:48:52,1,14,1
Issue#5473 Annotate Predicate for nullness.,cla: yes,,,copybara-service: Annotate Predicate for nullness. RELNOTES=n/a  ,2021-04-08 10:21:31,2021-04-08 10:57:18,1,2,1
Issue#5474 Annotate Objects for nullness.,cla: yes,,,"copybara-service: Annotate Objects for nullness. Objects was in much the same shape as Optional. The main interesting change is Objects.hashCode, which accepts a nullable array of nullable objects. As part of our effort to use declaration annotations where possible, its parameter changes from... ...to... RELNOTES=n/a  ",2021-04-08 19:13:10,2021-04-08 19:35:45,0,0,0
Issue#5475 Annotate Optional for nullness.,cla: yes,,,"copybara-service: Annotate Optional for nullness. The annotations were already correct, so the actual work here was to switch the mainline to declaration annotations to accommodate Kotlin. I also added @ElementsAreNonnullByDefault, which changes the return types from platform types to non-null types in Kotlin's eyes. But I suspect this has essentially no practical effects except removing ! from any error messages that users see in the future. RELNOTES=n/a 



              The text was updated successfully, but these errors were encountered:
              ",2021-04-08 19:32:05,2021-04-08 19:53:19,1,2,1
Issue#5476 Simplify the logic of `CaseFormat.convert`.,cla: yes,,,"copybara-service: Simplify the logic of CaseFormat.convert. In this version, it is clearer to both humans and static analysis that the StringBuilder is not null when it is appended to. Additionally, the previous version could allocate a StringBuilder twice, while this version will not. The new logic produces different results for some edge cases. For example, converting _FOO_BAR from upper-underscore to lower-camel used to produce FooBar while now it produces _fooBar. The spec says A ""best effort"" approach is taken; if {@code str} does not conform to the assumed format, then the behavior of this method is undefined but we make a reasonable effort at converting anyway. None of the thousands of usages in Google's code base has any tests that are affected by this change. RELNOTES=n/a  ",2021-04-09 00:27:12,,1,2,1
Issue#5477 Annotate some more fairly boring classes for nullness.,cla: yes,,,"copybara-service: Annotate some more fairly boring classes for nullness. The changes are almost all just to replace @Nullable/@NullableDecl with @CheckForNull. The mildly interesting one again involves arrays, this time in lenientFormat. RELNOTES=n/a 



              The text was updated successfully, but these errors were encountered:
              ",2021-04-09 00:30:42,2021-04-09 00:49:26,1,10,1
Issue#5478 Annotate various boring classes for nullness.,cla: yes,,,"copybara-service: Annotate various boring classes for nullness. Aside from class-level annotations, the only nullness annotation in these classes is on the return type of a non-user-visible computeNext method in Splitter. RELNOTES=n/a  ",2021-04-09 00:30:57,2021-04-09 00:53:00,0,0,0
"Issue#5479 Add a suppression where we are missing a nullness annotation, and add some explicit null checks for cases in which our nullness checker can't prove that the value is non-null.",cla: yes,,,"copybara-service: Add a suppression where we are missing a nullness annotation, and add some explicit null checks for cases in which our nullness checker can't prove that the value is non-null. RELNOTES=n/a  ",2021-04-09 14:21:02,2021-04-09 14:49:10,0,0,0
Issue#5480 Annotate Equivalence for nullness.,cla: yes,,,copybara-service: Annotate Equivalence for nullness. RELNOTES=n/a  ,2021-04-09 18:04:10,2021-04-09 18:54:05,0,0,0
Issue#5481 Generalize the signature for Equivalance.onResultOf.,cla: yes,,,"copybara-service: Generalize the signature for Equivalance.onResultOf. Traditionally, we don't add wildcards unless they make new calls possible. This wildcard, by contrast, only lets users select a slightly different return type from the method. ...except now that we're more focused on supporting nullness analyses. For users of nullness analyses, this signature change opens up the possibility of passing a Function<@Nullable Foo, ...>. RELNOTES=n/a 



              The text was updated successfully, but these errors were encountered:
              ",2021-04-09 18:04:47,2021-04-09 19:58:23,1,4,1
